Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer
KNOWLEDGE,The success of AI applications should be judged by their contribution to human lives ensuring fairness transparency and trust.,What criteria should determine whether an AI system is successful in improving human well-being?,What legal definition governs AI ownership rights?,What algorithm measures AI accuracy in pattern recognition?,What industry first adopted large-scale neural networks?,What criteria should determine whether an AI system is successful in improving human well-being?
KNOWLEDGE,Misunderstanding AI's capabilities could lead to overly restrictive regulation that stifles innovation and shifts progress elsewhere.,What are the possible consequences of poorly informed AI regulation?,What are the costs of developing AI hardware?,What are the primary goals of AI education programs?,What are the ethical issues in digital copyright law?,What are the possible consequences of poorly informed AI regulation?
KNOWLEDGE,Equitable access to AI technologies is crucial to prevent widening social and economic inequality.,What policy focus can prevent AI from increasing inequality?,What programming language best supports fairness testing?,What neural architecture improves efficiency?,What company first commercialized AI cloud tools?,What policy focus can prevent AI from increasing inequality?
KNOWLEDGE,The deployment of self-driving cars demands ethical and legal evaluation of accountability safety and human risk decisions.,What ethical and legal questions must be resolved before self-driving cars are fully adopted?,What algorithms control lane-keeping performance?,What materials improve vehicle sensor durability?,What year did the first autonomous taxi operate commercially?,What ethical and legal questions must be resolved before self-driving cars are fully adopted?
KNOWLEDGE,Society must balance innovation in AI with mechanisms that safeguard democratic values such as freedom equality and transparency.,What guiding principle should balance AI innovation with democratic integrity?,What programming framework standardizes AI ethics modules?,What neural network layer improves interpretability?,What statistical model supports linear regression?,What guiding principle should balance AI innovation with democratic integrity?
KNOWLEDGE,The integration of AI in education must be critically assessed to ensure that it enhances learning without reinforcing existing biases.,What standards should guide the ethical use of AI in education to promote fairness and inclusivity?,What algorithms are used to automate grading?,What cloud services manage student data storage?,What programming tools are used for adaptive learning design?,What standards should guide the ethical use of AI in education to promote fairness and inclusivity?
KNOWLEDGE,Evaluating AI in healthcare requires assessing not only its diagnostic accuracy but also its impact on trust privacy and patient autonomy.,What ethical criteria should guide the evaluation of AI applications in healthcare?,What programming languages are best for clinical databases?,What wearable devices track health indicators?,What metrics measure algorithmic precision?,What ethical criteria should guide the evaluation of AI applications in healthcare?
KNOWLEDGE,AI's influence on employment must be evaluated based on whether it creates inclusive economic growth or exacerbates worker displacement.,What evaluation framework should policymakers use to assess AI's long-term impact on employment?,What industries benefit most from robotic automation?,What companies pioneered human–machine collaboration?,What job roles are most resistant to automation?,What evaluation framework should policymakers use to assess AI's long-term impact on employment?
KNOWLEDGE,Ethical AI deployment requires mechanisms for accountability so that systems can be audited for fairness explainability and responsibility.,What mechanisms should be in place to ensure accountability in AI systems?,What algorithms enhance image recognition performance?,What laws protect data in digital marketing?,What processes validate AI training datasets?,What mechanisms should be in place to ensure accountability in AI systems?
KNOWLEDGE,Evaluating AI's role in governance involves determining whether algorithmic decisions align with human rights and public trust.,What principles should guide the ethical use of AI in public decision-making?,What frameworks standardize AI code reviews?,What sectors use predictive analytics for budgeting?,What are the limitations of sentiment analysis?,What principles should guide the ethical use of AI in public decision-making?
COMPREHENSION,This 1956 workshop at Dartmouth officially launched the field of AI and introduced the term artificial intelligence.,How would you describe the origin of modern AI research?,How would you explain when AI became a recognized field?,How would you summarize what happened at the Dartmouth workshop?,How would you interpret the significance of 1956 for AI?,How would you describe the origin of modern AI research?
COMPREHENSION,These transportation changes will reshape urban life by 2030 including reduced car ownership longer commutes and new city designs.,How would you explain the impact of autonomous vehicles on city planning?,How would you describe how self-driving cars will change urban living?,How would you summarize the effects of AI transportation on cities?,How would you interpret why autonomous cars affect city organization?,How would you describe how self-driving cars will change urban living?
COMPREHENSION,This principle suggests AI systems should enhance human capabilities and interaction rather than simply replacing human workers.,How would you explain the goal of human-AI collaboration?,How would you describe the philosophy behind AI augmentation?,How would you summarize why AI should complement humans?,How would you interpret the ethical approach to AI deployment?,How would you explain the goal of human-AI collaboration?
COMPREHENSION,These three factors large data sets cloud computing and deep learning have driven AI's dramatic progress since 2000.,How would you explain the key drivers of modern AI success?,How would you summarize the technological foundations of current AI?,How would you interpret why AI advanced rapidly after 2000?,How would you describe what enabled recent AI breakthroughs?,How would you explain the key drivers of modern AI success?
COMPREHENSION,This form of machine learning uses layered neural networks to achieve human-level performance in tasks like image recognition and speech understanding.,How would you describe the technique behind modern AI perception?,How would you explain what makes deep learning different?,How would you summarize how neural networks improve AI capabilities?,How would you interpret the role of layers in learning systems?,How would you describe the technique behind modern AI perception?
COMPREHENSION,This sector-specific regulatory approach in the US means different agencies oversee AI in healthcare transportation and finance.,How would you explain the current structure of AI regulation?,How would you describe why AI isn't regulated uniformly?,How would you summarize the challenges of governing AI technologies?,How would you interpret the fragmented nature of AI oversight?,How would you explain the current structure of AI regulation?
COMPREHENSION,These AI applications in education intelligent tutors MOOCs and adaptive learning promise personalization at scale while still requiring human teachers.,How would you describe AI's role in modern education?,How would you explain the balance between AI and human teaching?,How would you summarize how technology enhances learning?,How would you interpret why teachers remain essential despite AI?,How would you describe AI's role in modern education?
COMPREHENSION,This economic concern suggests that as AI replaces human labor wealth may concentrate among owners of intellectual capital rather than workers.,How would you explain the distributional challenge of AI?,How would you describe why AI might increase inequality?,How would you summarize the employment effects of automation?,How would you interpret the social implications of AI-driven wealth?,How would you explain the distributional challenge of AI?
COMPREHENSION,These privacy and bias concerns arise when AI systems use personal data or reflect the prejudices embedded in their training datasets.,How would you describe the ethical risks of AI systems?,How would you explain why AI can perpetuate discrimination?,How would you summarize the fairness challenges in machine learning?,How would you interpret how bias enters AI algorithms?,How would you describe the ethical risks of AI systems?
COMPREHENSION,This healthcare barrier poor EHR interfaces regulatory obstacles and lack of data sharing has slowed AI's promised medical revolution.,How would you explain why AI adoption in healthcare lags?,How would you describe the structural problems limiting medical AI?,How would you summarize the challenges facing clinical AI systems?,How would you interpret why health technology hasn't met expectations?,How would you explain why AI adoption in healthcare lags?
APPLICATION,AI-based tutoring systems such as SHERLOCK and Duolingo can be applied to simulate human tutoring through adaptive feedback error correction and personalized learning paths.,How would you apply AI-driven Intelligent Tutoring Systems to improve student learning outcomes?,How would you apply collaborative AI systems to assist teams in decision-making?,How would you apply AI to improve emergency response systems?,How can you apply the concept of AI-driven optimization to explain how cities can improve transportation efficiency?,How would you apply AI-driven Intelligent Tutoring Systems to improve student learning outcomes?
