Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer
KNOWLEDGE,It is an attempt at modeling information processing capabilities of the nervous system.,What is an artificial neural network?,What is AI?,Who made the first artificial network?,What is neural computation?,What is an artificial neural network?
KNOWLEDGE,It is the network's adjustment of neural weights in each iteration of the model.,What is learning?,What is training?,What is a model?,What is training tolerance?,What is learning?
KNOWLEDGE,Alan Hodgin and Andrew Huxley were able to show that it is possible to build an electric model of a cell membrane based on a very simple assumption.,Who were the British scientists that were able to show that it is possible to build an electric model of the cell membrane based on very simple assumptions?,Who were the Filipino scientists that were able to show that it is possible to build an electric model of the cell membrane based on very simple assumptions?,Who were the Chinese scientists that were able to show that it is possible to build an electric model of the cell membrane based on very simple assumptions?,Who were the African scientists that were able to show that it is possible to build an electric model of the cell membrane based on very simple assumptions?,Who were the British scientists that were able to show that it is possible to build an electric model of the cell membrane based on very simple assumptions?
KNOWLEDGE,Information is stored within the synapses.,Where is information stored in neural networks?,Where are expressions stored in neural networks?,Where are formulas stored in neural networks?,Where are algorithms stored in neural networks?,Where is information stored in neural networks?
KNOWLEDGE,Neural networks operate on the Input-output model.,What do neural networks operate on?,What do cellular networks operate on?,Where do neural networks operate?,What do artificial intelligence operate on?,What do neural networks operate on?
KNOWLEDGE,It is a set of data used by the neural modeling software to compute model weights.,What is the training data set?,What is the training problem set?,What is the training algorithm set?,What is data manipulation?,What is the training data set?
KNOWLEDGE,Is one of the three sets of nodes: input middle (also called hidden) and output.,What is a layer in artificial neural networks?,What is an input in artificial neural networks?,What is a neighborhood in artificial neural networks?,What is a connection in artificial neural networks?,What is a layer in artificial neural networks?
KNOWLEDGE,It is a feedforward multi-layer perception architecture using mean square error and gradient descent provides both the single most common form of neural model and also a vehicle for more detailed look at the architecture of neural models in general.,What is a backpropagation model?,What is a front propagation model?,What is a swarm intelligence algorithm?,What is a neural network model?,What is a backpropagation model?
KNOWLEDGE,It is the difference between the current output and desired output.,What is error in artificial neural networks?,What is standard deviation in artificial neural networks?,What is the activation function of artificial neural networks?,What is the noise function of artificial neural networks?,What is error in artificial neural networks?
KNOWLEDGE,It refers to a process which is automatic with classification depending on induction from examples in the training data set without reference to expected correct classifications.,What is unsupervised learning?,What is supervised learning?,What is unsupervised training?,What is supervised training?,What is unsupervised learning?
COMPREHENSION,In artificial neural networks the way dendrites gather signals process them through a neuron-like unit and transmit outputs through axon-like connections is modeled to mimic biological neurons. Similar to how neurons strengthen or weaken synapses based on experience neural networks learn and adapt by modifying connection weights rather than storing instructions like conventional computers do.,How do artificial neural networks imitate biological neurons in processing information?,Why are neurons faster than transistors?,How are human brains programmed to learn algorithms?,How does a neuron differ from an electrical circuit?,How do artificial neural networks imitate biological neurons in processing information?
COMPREHENSION,Artificial neurons use mathematical functions to transfer numerical signals whereas biological neurons use electrical impulses and chemical exchanges at synapses to transmit information. Both rely on connections that dictate how input signals affect output responses known as synapses in the biological instance and weighted links in the artificial one.,How can we compare the signal transmission of biological neurons with that of artificial neurons?,Why are dendrites faster than computer processors?,What makes axons behave like data cables?,How are neural networks identical to human brains?,How can we compare the signal transmission of biological neurons with that of artificial neurons?
