Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer
KNOWLEDGE,There are three abilities that define intelligence according to the composite definition.,What are Thinking Feeling and Acting?,What are Processing Storing and Retrieving?,What are Learning Posing problems and Solving problems?,What are Analyzing Synthesizing and Evaluating?,What are Learning Posing problems and Solving problems?
KNOWLEDGE,There are four branches of emotional intelligence according to Mayer Salovey and Caruso.,What are Recognition Processing Understanding and Application?,What are Perception Integration Comprehension and Regulation?,What are Emotional identification perception expression Emotional facilitation of thought Emotional understanding and Emotional management?,What are Input Analysis Storage and Output?,What are Emotional identification perception expression Emotional facilitation of thought Emotional understanding and Emotional management?
KNOWLEDGE,He coined the term Artificial Intelligence,Who is Alan Turing?,Who is John McCarthy?,Who is Marvin Minsky?,Who is Allen Newell?,Who is John McCarthy?
KNOWLEDGE,It is a family of programming languages with a long history and a distinctive fully parenthesized prefix notation.,What is Language Integrated System Programming?,What is Logic Implementation and System Processing?,What is List Processing?,What is Linear Intelligence System Protocol?,What is List Processing?
KNOWLEDGE,There are three main components of a robot.,What are Processor Memory and Storage?,What are Input Output and Control?,What are Manipulator Control unit and Power source unit?,What are Sensors Actuators and Interfaces?,What are Manipulator Control unit and Power source unit?
KNOWLEDGE,There are three aspects of intelligence in Robert Sternberg's Triarchic Theory.,What are Logical Creative and Practical?,What are Componential Experimental and Contextual?,What are Verbal Mathematical and Spatial?,What are Analytical Synthetic and Applied?,What are Componential Experimental and Contextual?
KNOWLEDGE,They developed the Logic Theorist in 1955.,Who are John McCarthy and Marvin Minsky?,Who are Alan Turing and Claude Shannon?,Who are Newell and Simon?,Who are McCulloch and Pitts?,Who are Newell and Simon?
KNOWLEDGE,They developed PROLOG.,Who is John McCarthy?,Who are Alain Colmeraver and P. Rousse?,Who is Allen Newell?,Who is Marvin Minsky?,Who are Alain Colmeraver and P. Rousse?
KNOWLEDGE,There is a meaning of robot in Czech.,What is a Worker?,What is a Slave?,What is a Machine?,What is a Helper?,What is a Slave?
KNOWLEDGE,They developed the concept of fuzzy sets and systems in the 1960s.,Who is John McCarthy?,Who is Marvin Minsky?,Who is Lotfi Zadeh?,Who is Claude Shannon?,Who is Lotfi Zadeh?
COMPREHENSION,It is demonstrated through a combination of abilities to learn pose problems and solve problems.,What is being inferred by Intelligence?,What is being inferred by Emotional Intelligence?,What is being inferred by Artificial Intelligence?,What is being inferred by IQ?,What is being inferred by Intelligence?
COMPREHENSION,It refers to the ability to process emotional information particularly as it involves the perception assimilation understanding and management of emotion.,What is being inferred by Intelligence?,What is being inferred by Emotional Intelligence?,What is being inferred by Artificial Intelligence?,What is being inferred by IQ?,What is the definition of Emotional Intelligence?
COMPREHENSION,Human intelligence is important but it is not the only type of intelligence. Within humans intellectual ability can be measured and compared using standard tests. In contrast machine intelligence cannot be assessed in the same way and instead requires a broader understanding of intelligence since it operates differently from human thought.,How would you compare artificial intelligence to animal intelligence?,How would you compare human intelligence to emotional intelligence?,How would you compare human intelligence to artificial intelligence?,How would you compare human intelligence to machine learning?,How would you compare human intelligence to other intelligence?
COMPREHENSION,Water spiders demonstrate intelligence by waiting underwater for passing prey and delivering fatal bites at the right moment which shows planning and the use of specialized skills.,In what way does the hunting method of the water spider show intelligence?,In what way does the hunting method of the bee show intelligence?,In what way does the hunting method of the chimpanzee show intelligence?,In what way does the hunting method of the human show intelligence?,In what way does the hunting method of the water spider show intelligence?
COMPREHENSION,It is mainly because brain size neuron size and how neurons connect vary a lot across species and even among humans.,Why is it reliable to compare intelligence only by brain size or neuron count?,Why is it reliable to compare intelligence not only by brain size or neuron count?,Why is it not reliable to compare intelligence purely by brain size or neuron count?,Why is it not reliable to compare intelligence only by brain size or neuron count?,Why is it not reliable to compare intelligence only by brain size or neuron count?
COMPREHENSION,Considering senses is important in studying intelligence because the way a being perceives the world depends on senses. Different senses provide different kinds of information.,How can you explain the importance of considering senses when studying intelligence?,How can you explain the importance of not considering senses when studying intelligence?,How can you explain the importance of considering intelligence when studying senses?,How can you explain the downside of considering senses when studying intelligence?,How can you explain the importance of considering senses when studying intelligence?
COMPREHENSION,Intelligence is considered subjective because what counts as intelligent depends on the views social norms and cultural group making a judgement,Can you explain why intelligence is considered as objective?,Can you explain why intelligence is considered as not subjective?,Can you explain why artificial intelligence is considered as subjective?,Can you explain why intelligence is considered as subjective?,Can you explain why intelligence is considered as subjective?
COMPREHENSION,Definition of Artificial Intelligence,What is being described as the study of how to make computers do things at which at the moment people are better?,What is being described as the study of how to not make computers do things at which at the moment people are better?,What is being described as the study of how to make computers do things at which at the moment people are not better?,What is being described as the study of how to make computers do things at which at the moment people are bad at doing?,What is being described as the study of how to make computers do things at which at the moment people are better?
COMPREHENSION,Learning means adding new knowledge to the knowledge base and improving or refining previous knowledge.,What is meant by Learning?,What is meant by Training?,What is meant by Memorizing?,What is meant by Practicing?,What is meant by Learning?
COMPREHENSION,The AI computer built by Minsky and Elmonds was based on a network of the neuron models of McCulloch and Pitts which shows how theoretical models were applied to create an early form of artificial intelligence.,How did Minsky and Elmonds AI computer relate to the neuron models of McCulloch and Pitts?,How did McCulloch and Pitts AI computer relate to the neuron models of Minsky and Elmonds?,How did McCulloch AI computer relate to the neuron models of Minsky and Elmonds?,How did McCulloch and Elmonds AI computer relate to the neuron models of Minsky and Pitts?,How did Minsky and Elmonds AI computer relate to the neuron models of McCulloch and Pitts?
APPLICATION,A hospital uses a kind of system for increasing the accuracy of the diagnosis and formulating more detailed conclusions for it.,How can a natural language processing system for patient intake forms enhance the accuracy of the diagnosis and provide best explanations for its conclusions?,How can an expert system that simulates the knowledge of medical specialists assist in improving diagnostic accuracy and explain more vividly of its conclusions?,How can a robotics system for automating surgery improve the accuracy of diagnoses?,How can a speech recognition system for doctors notes increase the accuracy of a doctors diagnosis?,How can an expert system that simulates the knowledge of medical specialists assist in improving diagnostic accuracy and explain more vividly of its conclusions?
APPLICATION,A conservation team uses another kind of system to map a large remote and dangerous jungle area to track deforestation.,In what scenario is sending in a team of human researchers on foot be recommended for the task?,Where would it be best in using an AI-powered vision system on a drone or spy plane to capture and interpret images be the most effective tool?,How can implementing a speech recognition system to listen for logging activity be efficient?,In what situation can designing an expert system to theorize where deforestation might occur be the right tool for the task?,Where would it be best in using an AI-powered vision system on a drone or spy plane to capture and interpret images be the most effective tool?
