Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer
KNOWLEDGE,The Turing Triage Test measures whether a machine deserves moral standing equivalent to humans based on the ethical weight of killing it.,What is the ethical significance of the Turing Triage Test in determining machine personhood?,What is the technical limitation of the Turing Test in measuring intelligence?,What is the difference between weak and strong AI?,What is the process of programming moral behavior into a system?,What is the ethical significance of the Turing Triage Test in determining machine personhood?
KNOWLEDGE,Machines will achieve moral personhood only when humans experience the same moral dilemma deciding whether to let them die as they do for humans.,What defines moral personhood in the context of the Turing Triage Test?,What defines human empathy toward AI assistants?,What defines artificial consciousness in robotic systems?,What defines moral responsibility in programming ethics?,What defines moral personhood in the context of the Turing Triage Test?
KNOWLEDGE,The exponential technological growth envisioned by Kurzweil suggests that human biological evolution may merge with technological evolution redefining human identity.,What are the implications of merging human and machine evolution in Kurzweil's vision?,What is the definition of Moore's Law?,What are the benefits of virtual reality immersion?,What is the main limitation of neuromorphic computing?,What are the implications of merging human and machine evolution in Kurzweil's vision?
KNOWLEDGE,Boden argues that despite the promises of exponential technological advancement skepticism about the Singularity remains justified due to current AI limitations.,What arguments support skepticism about the inevitability of the Singularity?,What predictions confirm the Singularity as near?,What is the timeline for AGI development according to Kurzweil?,What technological factor drives Moore's Law?,What arguments support skepticism about the inevitability of the Singularity?
KNOWLEDGE,Whole-brain emulation aims to simulate the human brain's neurons and processes but its top-down psychological understanding remains incomplete.,What are the limitations of whole-brain emulation in achieving true human-level intelligence?,What are the advantages of bottom-up brain modeling?,What are the ethical dilemmas in AI governance?,What are the applications of neuromorphic chips in neuroscience?,What are the limitations of whole-brain emulation in achieving true human-level intelligence?
KNOWLEDGE,Machine learning systems can autonomously learn patterns from data but ethical evaluation of their societal impact requires human oversight and judgment.,What criteria should be used to evaluate the ethical use of machine learning in smart cities?,What are the differences between supervised and unsupervised learning?,What are the main applications of reinforcement learning?,What is the purpose of linear regression in AI?,What criteria should be used to evaluate the ethical use of machine learning in smart cities?
KNOWLEDGE,The emergence of autonomous weapon systems challenges just war principles by questioning whether non-human agents can make moral distinctions in combat.,What ethical issue arises when autonomous weapon systems are allowed to decide who lives or dies?,What engineering problem arises when drones malfunction in warfare?,What programming method prevents robots from identifying friendly fire?,What security policy restricts human intervention in robotic combat?,What ethical issue arises when autonomous weapon systems are allowed to decide who lives or dies?
KNOWLEDGE,Kurzweil's transhumanist vision assumes technology will redefine humanity yet critics question whether merging biology and machinery preserves personhood.,What philosophical concern challenges Kurzweil's view of transhumanism?,What technological advancement enables nanotechnology?,What economic model supports posthumanist research?,What biological process improves neural mapping accuracy?,What philosophical concern challenges Kurzweil's view of transhumanism?
KNOWLEDGE,Boden warns that predictions of an imminent Singularity often ignore the psychological and social intelligence required for true AGI.,What human qualities does Boden argue current AI lacks to reach AGI?,What financial resources are needed for brain emulation?,What neural processes define synaptic plasticity?,What programming languages dominate machine-learning research?,What human qualities does Boden argue current AI lacks to reach AGI?
KNOWLEDGE,Smart-city initiatives depend on evaluating the ethical use of machine learning for citizen welfare data fairness and accountability.,What factors should guide ethical evaluation of machine-learning systems in smart cities?,What sensors provide temperature and noise data?,What database stores city demographic information?,What algorithm predicts linear relationships?,What factors should guide ethical evaluation of machine-learning systems in smart cities?
